Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,2nd phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,133.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",127.1,yes,no,no,yes,female,no,18,no,0,6,7,6,15.0,0,0,6,7,6,16.428571428571427,0,11.1,0.6,2.02,Not Dropout
single,Over 23 years old,1,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,133.0,no,no,no,yes,female,no,24,no,0,7,9,6,12.585714285714284,0,0,8,9,7,13.44285714285714,0,13.9,-0.3,0.79,Not Dropout
single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Installation and Machine Operators and Assembly Workers,128.2,no,no,no,yes,female,no,33,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,2nd phase - general contingent,4,Basic Education,daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",128.5,yes,no,no,yes,female,no,18,no,0,6,7,6,11.666666666666666,0,0,6,10,6,11.833333333333334,0,10.8,1.4,1.74,Not Dropout
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,146.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",128.5,no,no,yes,yes,female,no,19,no,0,6,13,3,12.666666666666666,0,0,6,12,2,10.0,0,10.8,1.4,1.74,Dropout
single,Short cycle diploma holders,1,Veterinary Nursing,daytime,Professional higher technical course,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,142.5,yes,no,no,yes,female,yes,22,no,7,11,18,8,13.5,0,4,9,16,7,13.714285714285714,0,8.9,1.4,3.51,Not Dropout
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",106.0,yes,no,no,yes,female,yes,21,no,0,6,13,6,16.153846153846153,0,0,6,10,6,15.75,0,15.5,2.8,-4.06,Not Dropout
single,1st phase - general contingent,4,Nursing,daytime,Secondary education,136.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,125.5,yes,no,no,yes,female,yes,21,no,0,7,7,6,14.033333333333331,0,0,7,7,6,14.033333333333331,0,7.6,2.6,0.32,Not Dropout
single,1st phase - general contingent,6,Nursing,daytime,Secondary education,138.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",124.8,yes,no,no,yes,female,no,18,no,0,8,8,7,13.414285714285716,0,0,8,8,7,13.414285714285716,0,12.7,3.7,-1.7,Dropout
married,Change of course,1,Social Service (evening attendance),evening,Secondary education,160.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Technological specialization course,Unskilled Workers,Administrative staff,140.9,no,no,no,yes,female,no,50,no,7,11,11,11,13.545454545454543,0,3,7,7,7,13.571428571428571,0,16.2,0.3,-0.92,Not Dropout
single,2nd phase - general contingent,1,Journalism and Communication,daytime,Secondary education,161.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",148.4,no,no,no,yes,female,yes,19,no,0,6,6,6,13.833333333333334,0,0,6,7,6,14.428571428571429,0,15.5,2.8,-4.06,Not Dropout
married,Over 23 years old,1,Veterinary Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",128.2,no,no,no,yes,female,no,31,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,3rd phase - general contingent,4,Management,daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,119.9,yes,no,no,no,female,no,34,no,0,5,5,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,152.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,141.0,yes,no,no,yes,female,yes,18,no,0,7,7,7,15.135714285714286,0,0,8,8,8,15.287499999999998,0,12.4,0.5,1.79,Not Dropout
divorced,Over 23 years old,1,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",140.0,no,no,no,yes,female,yes,26,no,0,7,13,5,12.74,0,0,8,12,6,10.978571428571428,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,1,Basic Education,daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",117.0,no,no,no,yes,female,yes,19,no,0,6,7,6,13.428571428571429,0,0,6,6,6,13.166666666666666,0,15.5,2.8,-4.06,Not Dropout
single,Short cycle diploma holders,1,Management,daytime,Professional higher technical course,140.0,Portuguese,Higher Education - Degree,Higher Education - Master's,Specialists in Intellectual and Scientific Activities,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",140.2,no,no,no,yes,female,no,20,no,6,11,19,9,12.555555555555555,0,3,9,14,8,11.11111111111111,0,8.9,1.4,3.51,Not Dropout
single,1st phase - general contingent,1,Social Service,daytime,Secondary education,124.0,Portuguese,Unknown,Unknown,Student,Student,129.3,no,no,no,yes,female,no,19,no,0,6,8,6,11.5,0,0,6,7,6,11.166666666666666,0,7.6,2.6,0.32,Not Dropout
single,1st phase - general contingent,1,Basic Education,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,145.3,no,no,no,yes,female,no,18,no,0,6,6,6,13.666666666666666,0,0,6,9,6,12.333333333333334,0,7.6,2.6,0.32,Not Dropout
single,Over 23 years old,1,Management (evening attendance),evening,Higher education - degree,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,146.2,no,no,no,yes,female,no,28,no,10,14,16,11,11.272727272727272,0,6,11,16,10,12.0,0,10.8,1.4,1.74,Not Dropout
single,Technological specialization diploma holders,1,Social Service (evening attendance),evening,Technological specialization course,160.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",156.1,no,no,no,yes,female,yes,21,no,3,6,6,6,14.666666666666666,0,2,6,6,6,14.166666666666666,0,13.9,-0.3,0.79,Not Dropout
single,2nd phase - general contingent,2,Veterinary Nursing,daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Armed Forces Professions,115.0,no,no,no,no,female,no,20,no,0,5,8,2,10.5,0,0,5,8,2,12.333333333333334,0,7.6,2.6,0.32,Dropout
single,2nd phase - general contingent,2,Veterinary Nursing,daytime,Secondary education,166.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,158.7,no,no,no,yes,female,no,18,no,0,6,7,6,14.857142857142858,0,0,6,7,6,14.0,0,11.1,0.6,2.02,Not Dropout
single,1st phase - general contingent,4,Nursing,daytime,Secondary education,147.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Unskilled Workers,124.5,yes,no,no,yes,female,yes,19,no,0,8,11,7,12.86,0,0,8,11,7,12.86,0,10.8,1.4,1.74,Not Dropout
single,Change of institution/course,1,Social Service,daytime,Secondary education,121.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Armed Forces Professions,111.9,yes,no,no,yes,female,no,20,no,5,11,12,11,11.727272727272728,0,5,11,14,11,12.0,0,12.4,0.5,1.79,Not Dropout
single,Technological specialization diploma holders,1,Veterinary Nursing,daytime,Technological specialization course,150.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",150.0,yes,no,no,yes,female,yes,22,no,3,6,11,6,13.142857142857142,0,2,6,10,3,12.0,0,13.9,-0.3,0.79,Not Dropout
single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,124.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,114.2,yes,no,yes,yes,female,no,18,no,0,6,6,5,11.8,0,0,6,9,4,13.714285714285714,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,1,Management,daytime,Secondary education,96.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Administrative staff,96.0,yes,no,no,yes,female,no,19,no,0,5,10,3,10.666666666666666,0,0,5,9,0,0.0,3,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,1,Nursing,daytime,Secondary education,142.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",131.3,yes,no,no,yes,female,no,19,no,0,8,8,7,14.731428571428571,0,0,8,8,7,14.731428571428571,0,10.8,1.4,1.74,Not Dropout
single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary education,135.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,137.1,yes,no,no,yes,female,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Not Dropout
single,Holders of other higher courses,1,Communication Design,daytime,Higher education - degree (1st cycle),120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,120.0,yes,no,no,yes,female,no,21,no,9,13,14,13,13.615384615384617,1,6,12,12,12,14.25,0,13.9,-0.3,0.79,Not Dropout
single,Over 23 years old,1,Management (evening attendance),evening,Higher education - degree (1st cycle),140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,139.0,no,no,no,yes,female,no,27,no,0,5,5,5,15.8,0,0,5,5,5,14.8,0,8.9,1.4,3.51,Not Dropout
single,2nd phase - general contingent,1,Social Service,daytime,Secondary education,135.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,129.1,no,no,no,yes,female,no,19,no,0,6,6,6,14.666666666666666,0,0,6,7,6,14.571428571428571,0,15.5,2.8,-4.06,Not Dropout
divorced,Over 23 years old,1,Veterinary Nursing,daytime,Secondary education,133.1,Portuguese,Unknown,Unknown,Student,Student,128.2,no,no,no,yes,female,no,25,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,2,Nursing,daytime,Secondary education,137.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.8,yes,no,no,yes,female,yes,18,no,0,8,8,7,14.654285714285717,0,0,8,8,7,14.654285714285717,0,10.8,1.4,1.74,Not Dropout
single,Over 23 years old,1,Nursing,daytime,Higher education - degree,122.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Installation and Machine Operators and Assembly Workers,135.8,no,no,no,yes,female,no,24,no,0,8,8,7,12.401428571428571,0,0,8,8,7,12.401428571428571,0,10.8,1.4,1.74,Not Dropout
single,1st phase - general contingent,3,Nursing,daytime,Secondary education,128.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Armed Forces Professions,118.9,yes,no,no,yes,female,no,20,no,0,7,8,7,11.5875,0,0,8,9,7,14.071428571428571,0,13.9,-0.3,0.79,Not Dropout
single,Holders of other higher courses,1,Management (evening attendance),evening,Higher education - degree (1st cycle),140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140.0,no,no,no,yes,female,no,26,no,3,5,5,5,14.0,0,1,5,5,5,15.6,0,12.4,0.5,1.79,Not Dropout
single,1st phase - general contingent,1,Social Service,daytime,Secondary education,132.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",127.1,yes,no,no,yes,female,yes,20,no,0,6,9,6,12.333333333333334,0,0,6,6,6,11.833333333333334,0,8.9,1.4,3.51,Not Dropout
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,131.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Other Situation,137.0,no,no,no,yes,female,no,18,no,0,5,5,5,14.0,0,0,5,6,5,15.4,0,7.6,2.6,0.32,Not Dropout
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,126.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,127.4,yes,no,no,yes,female,no,19,no,0,6,13,6,15.23076923076923,0,0,6,10,6,12.375,0,15.5,2.8,-4.06,Not Dropout
single,1st phase - general contingent,1,Basic Education,daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,97.0,yes,no,no,yes,female,no,23,no,0,6,9,5,11.6,0,0,6,9,3,11.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,4,Nursing,daytime,Secondary education,136.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,126.3,yes,no,no,yes,female,yes,18,no,0,7,7,6,11.6,0,0,7,7,6,11.6,0,7.6,2.6,0.32,Not Dropout
single,1st phase - general contingent,4,Nursing,daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",127.5,no,no,no,yes,female,no,18,no,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,135.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,126.6,no,no,no,yes,female,yes,19,no,0,7,7,7,12.901428571428571,0,0,8,9,8,13.094444444444443,0,11.1,0.6,2.02,Not Dropout
single,Transfer,1,Management (evening attendance),evening,Secondary education,160.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,Administrative staff,Intermediate Level Technicians and Professions,120.0,no,no,no,yes,female,no,30,no,4,7,9,7,14.142857142857142,0,1,5,5,5,14.8,0,7.6,2.6,0.32,Not Dropout
single,Technological specialization diploma holders,1,Veterinary Nursing,daytime,Technological specialization course,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140.0,yes,no,no,yes,female,no,29,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,6,Nursing,daytime,Secondary education,140.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,131.5,yes,no,no,yes,female,no,19,no,0,8,8,8,13.25375,0,0,8,8,8,13.25375,0,9.4,-0.8,-3.12,Not Dropout
single,2nd phase - general contingent,6,Oral Hygiene,daytime,Secondary education,115.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Bachelor's Degree,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,112.2,yes,no,no,yes,female,no,20,no,0,7,7,7,13.785714285714286,0,0,8,8,8,14.1,0,12.4,0.5,1.79,Not Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,144.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,150.5,no,no,no,yes,female,no,20,no,0,7,7,6,13.916666666666666,0,0,7,7,6,13.916666666666666,0,7.6,2.6,0.32,Not Dropout
single,1st phase - general contingent,4,Advertising and Marketing Management,daytime,Secondary education,128.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",121.0,yes,no,no,yes,female,no,19,no,0,6,8,6,13.5,0,0,6,9,6,13.571428571428571,0,11.1,0.6,2.02,Not Dropout
single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,121.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Armed Forces Professions,114.4,no,no,no,yes,female,no,19,no,0,6,10,5,11.5,0,0,6,9,4,14.6,0,11.1,0.6,2.02,Not Dropout
single,1st phase - general contingent,3,Nursing,daytime,Secondary education,134.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.3,yes,no,no,yes,female,yes,18,no,0,8,8,7,12.082857142857142,0,0,8,8,7,12.082857142857142,0,10.8,1.4,1.74,Not Dropout
single,Over 23 years old,1,Social Service (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,120.0,no,no,no,yes,female,yes,27,no,0,6,8,6,11.833333333333334,0,0,6,10,5,12.8,0,15.5,2.8,-4.06,Not Dropout
single,2nd phase - general contingent,2,Management,daytime,Secondary education,125.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Installation and Machine Operators and Assembly Workers,114.5,yes,no,no,yes,female,yes,19,no,0,5,6,5,13.4,0,0,5,5,5,12.4,0,12.4,0.5,1.79,Not Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,141.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Other Situation,Intermediate Level Technicians and Professions,127.8,no,no,no,yes,female,yes,19,no,0,7,7,0,0.0,2,0,7,7,0,0.0,2,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,124.6,yes,no,no,yes,female,no,19,no,0,6,7,5,14.2,0,0,6,7,6,14.571428571428571,0,15.5,2.8,-4.06,Not Dropout
single,1st phase - general contingent,6,Nursing,daytime,Secondary education,144.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",130.3,yes,no,no,yes,female,yes,18,no,0,8,8,7,13.814285714285717,0,0,8,8,7,13.814285714285717,0,12.7,3.7,-1.7,Not Dropout
single,1st phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",118.8,no,no,no,yes,female,yes,18,no,0,6,6,6,14.5,0,0,6,8,6,13.666666666666666,0,12.7,3.7,-1.7,Not Dropout
married,Over 23 years old,1,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,129.0,yes,no,no,yes,female,no,36,no,0,7,7,6,11.3,0,0,7,7,6,11.3,0,7.6,2.6,0.32,Not Dropout
single,2nd phase - general contingent,6,Nursing,daytime,Secondary education,136.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,132.5,yes,no,no,yes,female,no,19,no,0,8,9,7,12.3,0,0,8,9,7,12.3,0,12.7,3.7,-1.7,Not Dropout
single,1st phase - general contingent,5,Nursing,daytime,Secondary education,127.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,120.3,yes,no,no,yes,female,yes,18,no,0,8,8,7,12.694285714285714,0,0,8,8,7,12.694285714285714,0,10.8,1.4,1.74,Not Dropout
single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,123.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",114.6,no,no,no,yes,female,no,18,no,0,5,5,4,11.0,0,0,5,5,4,11.0,0,9.4,-0.8,-3.12,Not Dropout
single,1st phase - general contingent,1,Social Service,daytime,Secondary education,128.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,116.5,yes,no,no,yes,female,yes,19,no,0,6,6,6,13.0,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Not Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,128.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",127.8,no,no,no,yes,female,yes,19,no,0,7,8,7,14.4125,0,0,8,8,8,16.05,0,13.9,-0.3,0.79,Not Dropout
single,1st phase - general contingent,2,Nursing,daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",129.9,yes,no,no,yes,female,no,18,no,0,7,8,7,12.92875,0,0,8,8,8,14.0625,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,2,Journalism and Communication,daytime,Secondary education,121.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",118.9,yes,no,no,yes,female,no,20,no,0,6,6,6,13.333333333333334,0,0,6,10,5,12.8,0,11.1,0.6,2.02,Not Dropout
single,3rd phase - general contingent,1,Nursing,daytime,Secondary education,126.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",114.8,yes,no,no,yes,female,no,20,no,0,8,8,7,14.402857142857142,0,0,8,8,7,14.402857142857142,0,10.8,1.4,1.74,Not Dropout
